id,book,chapter,verse,language,sentence_length,number_words,clause_length
15625,1QS,4,43,Hebrew,1,8,8.0
15629,1QS,4,44,Hebrew,4,18,4.5
15631,1QS,4,45,Hebrew,2,11,5.5
15632,1QS,4,45,Hebrew,1,2,2.0
15638,1QS,4,48,Hebrew,5,40,8.0
15637,1QS,4,47,Hebrew,1,9,9.0
15639,1QS,4,48,Hebrew,1,16,16.0
15641,1QS,4,49,Hebrew,2,22,11.0
15643,1QS,4,49,Hebrew,2,19,9.5
15644,1QS,4,49,Hebrew,1,7,7.0
15645,1QS,4,49,Hebrew,1,7,7.0
15648,1QS,4,51,Hebrew,3,26,8.666666666666666
15649,1QS,4,51,Hebrew,1,6,6.0
15651,1QS,4,52,Hebrew,2,13,6.5
15652,1QS,4,52,Hebrew,1,21,21.0
15653,1QS,4,52,Hebrew,1,6,6.0
15655,1QS,4,53,Hebrew,2,10,5.0
15657,1QS,5,1,Hebrew,2,15,7.5
15659,1QS,5,2,Hebrew,2,9,4.5
15660,1QS,5,2,Hebrew,1,3,3.0
15661,1QS,5,2,Hebrew,1,9,9.0
15662,1QS,5,2,Hebrew,1,7,7.0
15669,1QS,5,2,Hebrew,7,35,5.0
15670,1QS,5,3,Hebrew,1,4,4.0
15671,1QS,5,3,Hebrew,1,2,2.0
15679,1QS,5,4,Hebrew,3,14,4.666666666666667
15678,1QS,5,4,Hebrew,5,22,4.4
15680,1QS,5,4,Hebrew,1,8,8.0
15682,1QS,5,5,Hebrew,2,15,7.5
15683,1QS,5,5,Hebrew,1,4,4.0
15684,1QS,5,5,Hebrew,1,8,8.0
15685,1QS,5,6,Hebrew,1,5,5.0
15686,1QS,5,6,Hebrew,1,4,4.0
15689,1QS,5,6,Hebrew,3,10,3.3333333333333335
15692,1QS,5,6,Hebrew,3,16,5.333333333333333
15693,1QS,5,6,Hebrew,1,2,2.0
15697,1QS,5,6,Hebrew,4,18,4.5
15698,1QS,5,7,Hebrew,1,6,6.0
15699,1QS,5,7,Hebrew,1,4,4.0
15701,1QS,5,8,Hebrew,2,10,5.0
15702,1QS,5,8,Hebrew,1,6,6.0
15704,1QS,5,9,Hebrew,2,9,4.5
15705,1QS,5,9,Hebrew,1,4,4.0
15716,1QS,5,12,Hebrew,7,25,3.5714285714285716
15711,1QS,5,11,Hebrew,2,9,4.5
15715,1QS,5,12,Hebrew,2,11,5.5
15719,1QS,5,12,Hebrew,3,10,3.3333333333333335
15723,1QS,5,13,Hebrew,4,23,5.75
15724,1QS,5,13,Hebrew,1,4,4.0
15726,1QS,5,14,Hebrew,2,5,2.5
15727,1QS,5,14,Hebrew,1,4,4.0
15731,1QS,5,15,Hebrew,3,12,4.0
15730,1QS,5,15,Hebrew,1,4,4.0
15734,1QS,5,16,Hebrew,3,13,4.333333333333333
15739,1QS,5,17,Hebrew,3,13,4.333333333333333
