id,book,chapter,verse,language,number_phrases,number_words,ratio
426968,Genesis,4,15,hbo,5,6,1.2
426969,Genesis,4,15,hbo,3,6,2.0
426970,Genesis,4,16,hbo,4,7,1.75
426971,Genesis,4,16,hbo,3,7,2.3333333333333335
426972,Genesis,4,17,hbo,4,5,1.25
426973,Genesis,4,17,hbo,2,2,1.0
426974,Genesis,4,17,hbo,3,4,1.3333333333333333
426975,Genesis,4,17,hbo,2,2,1.0
426976,Genesis,4,17,hbo,2,2,1.0
426977,Genesis,4,17,hbo,4,9,2.25
426978,Genesis,4,18,hbo,4,6,1.5
426979,Genesis,4,18,hbo,4,5,1.25
426980,Genesis,4,18,hbo,4,5,1.25
426981,Genesis,4,18,hbo,4,5,1.25
426982,Genesis,4,19,hbo,5,6,1.2
426983,Genesis,4,19,hbo,2,4,2.0
426984,Genesis,4,19,hbo,3,5,1.6666666666666667
426985,Genesis,4,20,hbo,4,5,1.25
426986,Genesis,4,20,hbo,3,7,2.3333333333333335
426987,Genesis,4,21,hbo,3,4,1.3333333333333333
426988,Genesis,4,21,hbo,3,8,2.6666666666666665
426989,Genesis,4,22,hbo,4,7,1.75
426990,Genesis,4,22,hbo,1,6,6.0
426991,Genesis,4,22,hbo,3,4,1.3333333333333333
426992,Genesis,4,23,hbo,4,8,2.0
426993,Genesis,4,23,hbo,2,2,1.0
426994,Genesis,4,23,hbo,1,2,2.0
426995,Genesis,4,23,hbo,2,2,1.0
426996,Genesis,4,23,hbo,4,5,1.25
426997,Genesis,4,23,hbo,3,4,1.3333333333333333
426998,Genesis,4,24,hbo,4,4,1.0
426999,Genesis,4,24,hbo,3,5,1.6666666666666667
427000,Genesis,4,25,hbo,5,6,1.2
427001,Genesis,4,25,hbo,3,3,1.0
427002,Genesis,4,25,hbo,4,5,1.25
427003,Genesis,4,25,hbo,6,8,1.3333333333333333
427004,Genesis,4,25,hbo,3,3,1.0
427005,Genesis,4,26,hbo,4,7,1.75
427006,Genesis,4,26,hbo,4,5,1.25
427007,Genesis,4,26,hbo,2,2,1.0
427008,Genesis,4,26,hbo,2,5,2.5
427009,Genesis,5,1,hbo,2,4,2.0
427010,Genesis,5,1,hbo,4,7,1.75
427011,Genesis,5,1,hbo,3,3,1.0
427012,Genesis,5,2,hbo,2,4,2.0
427013,Genesis,5,2,hbo,3,3,1.0
427014,Genesis,5,2,hbo,5,7,1.4
427015,Genesis,5,2,hbo,1,1,1.0
427016,Genesis,5,3,hbo,4,7,1.75
427017,Genesis,5,3,hbo,4,6,1.5
427018,Genesis,5,3,hbo,4,5,1.25
427019,Genesis,5,4,hbo,4,7,1.75
427020,Genesis,5,4,hbo,2,4,2.0
427021,Genesis,5,4,hbo,3,5,1.6666666666666667
427022,Genesis,5,5,hbo,4,11,2.75
427023,Genesis,5,5,hbo,2,2,1.0
427024,Genesis,5,5,hbo,2,2,1.0
427025,Genesis,5,6,hbo,4,8,2.0
427026,Genesis,5,6,hbo,3,4,1.3333333333333333
427027,Genesis,5,7,hbo,4,9,2.25
427028,Genesis,5,7,hbo,2,4,2.0
427029,Genesis,5,7,hbo,3,5,1.6666666666666667
427030,Genesis,5,8,hbo,4,12,3.0
427031,Genesis,5,8,hbo,2,2,1.0
427032,Genesis,5,9,hbo,4,5,1.25
427033,Genesis,5,9,hbo,3,4,1.3333333333333333
427034,Genesis,5,10,hbo,4,10,2.5
427035,Genesis,5,10,hbo,2,4,2.0
427036,Genesis,5,10,hbo,3,5,1.6666666666666667
427037,Genesis,5,11,hbo,4,11,2.75
427038,Genesis,5,11,hbo,2,2,1.0
427039,Genesis,5,12,hbo,4,5,1.25
427040,Genesis,5,12,hbo,3,4,1.3333333333333333
427041,Genesis,5,13,hbo,4,9,2.25
427042,Genesis,5,13,hbo,2,4,2.0
427043,Genesis,5,13,hbo,3,5,1.6666666666666667
427044,Genesis,5,14,hbo,4,11,2.75
427045,Genesis,5,14,hbo,2,2,1.0
